2020-09-24 nBSQ in PMMA grosse Substrate INT
Wavelength (nm)	No1 5pct nBSQ	No2 1pct nBSQ	No3 0.5pct nBSQ
428.093567	0.832274	0.829527	0.818731	
429.694275	0.832527	0.830324	0.818433	
431.295013	0.833471	0.830039	0.819164	
432.895752	0.833713	0.830076	0.818923	
434.496429	0.833221	0.830963	0.819060	
436.097107	0.833963	0.830894	0.819872	
437.697815	0.834480	0.831737	0.819752	
439.298431	0.834432	0.831958	0.820605	
440.899078	0.835557	0.832112	0.820433	
442.499695	0.835562	0.832469	0.821330	
444.100281	0.836143	0.832936	0.821271	
445.700867	0.837104	0.833531	0.821357	
447.301453	0.837729	0.834040	0.822422	
448.902008	0.838767	0.834576	0.822545	
450.502533	0.838967	0.834761	0.822863	
452.103027	0.839583	0.835444	0.823522	
453.703522	0.840029	0.835976	0.824295	
455.303955	0.840941	0.836191	0.824593	
456.904388	0.841589	0.836567	0.823920	
458.504822	0.841768	0.836506	0.825309	
460.105225	0.842960	0.837041	0.825573	
461.705627	0.843791	0.837326	0.825960	
463.305969	0.843874	0.838072	0.826154	
464.906311	0.844627	0.838462	0.826348	
466.506592	0.846071	0.838989	0.827394	
468.106873	0.845842	0.839264	0.827217	
469.707123	0.847200	0.839356	0.827077	
471.307373	0.847030	0.839454	0.828245	
472.907562	0.848379	0.839726	0.828012	
474.507721	0.848809	0.840119	0.828599	
476.107849	0.849343	0.840348	0.829565	
477.708008	0.850002	0.840561	0.829448	
479.308105	0.850480	0.841089	0.829449	
480.908142	0.851234	0.841795	0.829743	
482.508209	0.851114	0.841963	0.830264	
484.108215	0.852101	0.842304	0.830462	
485.708160	0.852357	0.842828	0.830862	
487.308105	0.851985	0.843079	0.831051	
488.908051	0.853027	0.843609	0.831675	
490.507904	0.853241	0.842737	0.831716	
492.107758	0.853339	0.843658	0.832583	
493.707581	0.853511	0.843895	0.832531	
495.307373	0.853507	0.844725	0.832662	
496.907135	0.853913	0.844589	0.832595	
498.506836	0.853315	0.844945	0.833120	
500.106537	0.853059	0.845162	0.833789	
501.706207	0.852991	0.845407	0.834329	
503.305817	0.853445	0.845798	0.834717	
504.905365	0.852456	0.846228	0.834977	
506.504944	0.851839	0.845989	0.835558	
508.104431	0.851876	0.846411	0.835361	
509.703918	0.851184	0.846208	0.835641	
511.303314	0.850537	0.846313	0.835550	
512.902710	0.849955	0.847047	0.836394	
514.502075	0.848611	0.847146	0.836618	
516.101440	0.848424	0.846845	0.836269	
517.700684	0.847445	0.847009	0.836431	
519.299927	0.846408	0.847582	0.836994	
520.899109	0.845333	0.847194	0.837288	
522.498230	0.844431	0.847601	0.838025	
524.097351	0.843070	0.848013	0.837694	
525.696411	0.841872	0.847461	0.837658	
527.295532	0.839672	0.847933	0.837908	
528.894470	0.837841	0.847783	0.837964	
530.493408	0.835681	0.847202	0.838650	
532.092346	0.834079	0.846838	0.837879	
533.691223	0.830763	0.846940	0.838149	
535.289978	0.827861	0.845903	0.838585	
536.888794	0.824587	0.846224	0.838672	
538.487488	0.821849	0.845721	0.838255	
540.086182	0.818314	0.844899	0.837909	
541.684814	0.814513	0.844140	0.838104	
543.283386	0.810806	0.843867	0.837779	
544.881958	0.805962	0.842887	0.837073	
546.480408	0.801275	0.842146	0.836993	
548.078857	0.797746	0.841489	0.837039	
549.677246	0.792737	0.840973	0.837140	
551.275574	0.787433	0.839603	0.836945	
552.873901	0.782131	0.839185	0.837390	
554.472107	0.776586	0.837776	0.836763	
556.070374	0.771055	0.836796	0.835779	
557.668457	0.764783	0.835977	0.835859	
559.266541	0.759048	0.835277	0.835744	
560.864624	0.751806	0.833607	0.834788	
562.462585	0.745232	0.832604	0.834885	
564.060547	0.737656	0.831540	0.834449	
565.658386	0.729669	0.829409	0.834112	
567.256226	0.721073	0.827452	0.832867	
568.854004	0.711544	0.825616	0.832832	
570.451721	0.701459	0.822956	0.831851	
572.049438	0.691182	0.820218	0.830854	
573.647034	0.679801	0.817463	0.829979	
575.244507	0.668227	0.814269	0.828464	
576.842041	0.655440	0.810648	0.827777	
578.439514	0.642400	0.806903	0.825434	
580.036865	0.628603	0.802275	0.823865	
581.634155	0.614798	0.797615	0.821936	
583.231445	0.599443	0.792314	0.820234	
584.828674	0.584351	0.787661	0.818113	
586.425781	0.568951	0.781905	0.815464	
588.022888	0.552994	0.776682	0.812744	
589.619934	0.537479	0.770480	0.810437	
591.216919	0.522020	0.764022	0.808130	
592.813782	0.506330	0.757916	0.805419	
594.410583	0.491335	0.752976	0.803188	
596.007385	0.477177	0.747493	0.800751	
597.604126	0.463434	0.742584	0.798537	
599.200806	0.450691	0.737827	0.797052	
600.797363	0.438871	0.733173	0.795578	
602.393921	0.428909	0.729469	0.794808	
603.990356	0.419872	0.726145	0.792850	
605.586731	0.412023	0.723157	0.791931	
607.183044	0.405656	0.720241	0.791414	
608.779297	0.400141	0.717218	0.790716	
610.375549	0.395274	0.714922	0.788875	
611.971619	0.390839	0.711475	0.787673	
613.567749	0.386886	0.707384	0.785910	
615.163696	0.382019	0.702254	0.783039	
616.759644	0.376016	0.696487	0.779776	
618.355469	0.368732	0.689018	0.775566	
619.951294	0.359734	0.679855	0.770307	
621.546997	0.348651	0.669622	0.764016	
623.142639	0.336172	0.656712	0.757793	
624.738220	0.321702	0.642281	0.749451	
626.333740	0.305934	0.626326	0.740097	
627.929138	0.289405	0.608672	0.729965	
629.524536	0.271827	0.589253	0.718208	
631.119812	0.254744	0.568685	0.705376	
632.715027	0.237244	0.547622	0.692109	
634.310181	0.220737	0.525594	0.676988	
635.905212	0.205359	0.502855	0.661559	
637.500244	0.190773	0.480375	0.645982	
639.095154	0.177764	0.459325	0.630281	
640.690002	0.166074	0.439157	0.614821	
642.284790	0.155963	0.421087	0.600854	
643.879456	0.147246	0.405022	0.588183	
645.474060	0.140311	0.391747	0.577110	
647.068604	0.134896	0.381751	0.567873	
648.663086	0.131055	0.375146	0.562150	
650.257446	0.129026	0.371902	0.559632	
651.851746	0.128730	0.372785	0.560765	
653.445984	0.130318	0.377718	0.565121	
655.040161	0.134142	0.388254	0.574147	
656.634155	0.140004	0.402468	0.586537	
658.228149	0.146517	0.417329	0.598919	
659.822083	0.154711	0.434743	0.612788	
661.415894	0.166825	0.459738	0.631650	
663.009644	0.182968	0.489697	0.653545	
664.603333	0.200874	0.519796	0.674915	
666.196899	0.221105	0.550114	0.695965	
667.790405	0.244267	0.581979	0.716541	
669.383789	0.269887	0.612976	0.735548	
670.977112	0.297995	0.642365	0.752747	
672.570374	0.328191	0.670456	0.768487	
674.163452	0.359386	0.696179	0.781477	
675.756531	0.392618	0.719630	0.793627	
677.349548	0.425665	0.739797	0.803291	
678.942444	0.459519	0.757727	0.811997	
680.535278	0.492920	0.773575	0.818910	
682.127991	0.525201	0.786918	0.824340	
683.720581	0.556670	0.798196	0.829294	
685.313110	0.585847	0.807444	0.832900	
686.905640	0.614177	0.815901	0.836900	
688.497925	0.639084	0.821679	0.838430	
690.090210	0.662603	0.827183	0.840547	
691.682434	0.684005	0.831350	0.842132	
693.274536	0.703081	0.835792	0.843085	
694.866516	0.719943	0.838351	0.844786	
696.458435	0.735571	0.841035	0.845879	
698.050232	0.748803	0.843238	0.845749	
699.641968	0.760622	0.845215	0.846209	
701.233582	0.770851	0.846600	0.846713	
702.825134	0.780106	0.848001	0.847228	
704.416626	0.788641	0.849265	0.847644	
706.007935	0.796429	0.850292	0.848364	
707.599243	0.802848	0.850642	0.848785	
709.190369	0.807999	0.851571	0.848122	
710.781433	0.813435	0.852625	0.848373	
712.372437	0.818432	0.853481	0.848921	
713.963257	0.822069	0.854444	0.848445	
715.554077	0.826395	0.854103	0.847945	
717.144714	0.829477	0.855062	0.848542	
718.735291	0.833013	0.855128	0.848637	
720.325806	0.835720	0.855409	0.848607	
721.916138	0.838929	0.855598	0.848571	
723.506470	0.840426	0.855733	0.849138	
725.096619	0.841382	0.855795	0.848759	
726.686646	0.844034	0.856783	0.848629	
728.276672	0.845548	0.856936	0.847927	
729.866577	0.846724	0.856536	0.847734	
731.456299	0.848690	0.856356	0.848354	
733.046021	0.850024	0.857466	0.848098	
734.635559	0.851210	0.858275	0.847644	
736.224976	0.851922	0.857910	0.847728	
737.814331	0.853767	0.857855	0.847924	
739.403625	0.854434	0.858125	0.848005	
740.992798	0.854864	0.857553	0.848053	
742.581848	0.855649	0.857471	0.847618	
744.170776	0.856381	0.857542	0.847643	
745.759644	0.856657	0.857722	0.847622	
747.348328	0.856632	0.857828	0.846710	
748.936951	0.857779	0.857179	0.847124	
750.525513	0.858169	0.857932	0.847298	
752.113892	0.858286	0.857747	0.846331	
753.702148	0.859090	0.857485	0.847612	
755.290344	0.859991	0.858149	0.846749	
756.878418	0.860228	0.858731	0.846769	
758.466431	0.860024	0.858968	0.846626	
760.054260	0.860354	0.857772	0.846642	
761.641968	0.861424	0.858465	0.846278	
763.229614	0.861460	0.857581	0.846866	
764.817139	0.860779	0.857774	0.846825	
766.404541	0.861273	0.857616	0.846452	
767.991821	0.861790	0.856984	0.845670	
769.579041	0.861200	0.857655	0.846217	
771.166138	0.861329	0.856795	0.845684	
772.753052	0.861395	0.856925	0.846279	
774.339905	0.862145	0.857250	0.845579	
775.926636	0.861497	0.856881	0.845566	
777.513245	0.861421	0.856976	0.845407	
779.099731	0.861676	0.857192	0.846103	
780.686157	0.861968	0.857190	0.845889	
782.272339	0.861995	0.856948	0.846073	
783.858521	0.862634	0.856856	0.846576	
785.444519	0.862367	0.856119	0.846337	
787.030457	0.863247	0.857055	0.846232	
788.616211	0.861780	0.856441	0.845514	
790.201904	0.862361	0.856473	0.845327	
791.787476	0.861657	0.856855	0.845420	
793.372864	0.862453	0.855972	0.845121	
794.958191	0.862650	0.856034	0.845156	
796.543335	0.862338	0.855295	0.845828	
798.128418	0.862281	0.855111	0.845303	
799.713379	0.862288	0.855058	0.845868	
801.298218	0.862411	0.855589	0.845067	
802.882874	0.861558	0.854931	0.845750	
804.467468	0.862341	0.855388	0.844829	
806.051880	0.861150	0.855411	0.845221	
807.636230	0.861608	0.854556	0.845208	
809.220398	0.861693	0.854542	0.844847	
810.804504	0.861977	0.854448	0.844940	
812.388428	0.861724	0.853395	0.845178	
813.972290	0.862111	0.854075	0.844830	
815.555969	0.860826	0.854472	0.845673	
817.139526	0.860604	0.854499	0.845197	
818.722961	0.861711	0.853597	0.844346	
820.306274	0.861866	0.854007	0.845494	
821.889465	0.861557	0.854054	0.844904	
823.472473	0.861336	0.853768	0.844904	
825.055481	0.861662	0.853884	0.844575	
826.638184	0.860856	0.853631	0.844577	
828.220886	0.860935	0.853610	0.845048	
829.803406	0.861504	0.853093	0.844649	
831.385864	0.860668	0.853024	0.844902	
832.968079	0.860965	0.852826	0.844877	
834.550171	0.860314	0.852775	0.845081	
836.132202	0.860635	0.853348	0.844902	
837.714050	0.861185	0.852287	0.844979	
839.295776	0.860949	0.852106	0.844727	
840.877441	0.860987	0.852889	0.845398	
842.458862	0.860579	0.852178	0.844354	
844.040222	0.860346	0.852214	0.845906	
845.621399	0.860133	0.851724	0.845050	
847.202454	0.860380	0.852189	0.845044	
848.783386	0.859607	0.851989	0.845107	
850.364136	0.859589	0.852042	0.844703	
851.944824	0.860448	0.851414	0.844884	
853.525269	0.860576	0.851193	0.844916	
855.105652	0.860202	0.851633	0.844301	
856.685913	0.859974	0.851553	0.844936	
858.265991	0.859987	0.850781	0.844814	
859.846008	0.858939	0.850460	0.844884	
861.425781	0.859228	0.851512	0.846005	
863.005493	0.859642	0.851842	0.845682	
864.584961	0.859361	0.850622	0.844339	
866.164368	0.860025	0.850023	0.845049	
867.743530	0.858770	0.851641	0.845702	
869.322632	0.858753	0.851391	0.845127	
870.901672	0.858705	0.850639	0.845617	
872.480469	0.858739	0.849135	0.845740	
874.059082	0.858741	0.851869	0.844951	
875.637573	0.858411	0.849556	0.845682	
877.216003	0.859771	0.850068	0.846090	
878.794250	0.858799	0.850034	0.845181	
880.372375	0.858609	0.850322	0.845279	
881.950317	0.858877	0.849393	0.846140	
883.528137	0.858859	0.849683	0.845982	
885.105774	0.857804	0.849344	0.845514	
886.683228	0.858437	0.849576	0.845621	
888.260559	0.858363	0.848910	0.846024	
889.837769	0.859086	0.849607	0.845601	
891.414856	0.858066	0.849778	0.846707	
892.991699	0.859345	0.849996	0.846121	
894.568481	0.858854	0.849266	0.846460	
896.145142	0.858466	0.849150	0.846723	
897.721497	0.858518	0.849331	0.845201	
899.297852	0.856975	0.849230	0.844931	
900.873901	0.857151	0.849081	0.846048	
902.450012	0.858105	0.848920	0.845895	
904.025757	0.857092	0.847550	0.845353	
905.601440	0.857417	0.848286	0.845800	
907.177063	0.857267	0.848568	0.846417	
908.752319	0.857414	0.848904	0.845316	
910.327637	0.857327	0.849653	0.846978	
911.902649	0.856634	0.849375	0.845410	
913.477661	0.856467	0.848827	0.846477	
915.052368	0.856957	0.850144	0.846161	
916.626953	0.857806	0.850297	0.845889	
918.201355	0.856741	0.848060	0.846280	
919.775696	0.856709	0.849536	0.845773	
921.349792	0.856862	0.850051	0.846826	
922.923706	0.857167	0.848695	0.847831	
924.497559	0.857552	0.848963	0.845635	
926.071167	0.856388	0.848956	0.845741	
927.644714	0.856354	0.849047	0.845778	
929.218079	0.857775	0.848900	0.846878	
930.791199	0.857180	0.850014	0.846948	
932.364136	0.855806	0.849605	0.846325	
933.937012	0.856799	0.848936	0.846052	
935.509644	0.856425	0.849161	0.846554	
937.082214	0.857714	0.848297	0.846451	
938.654602	0.856914	0.849234	0.846826	
940.226746	0.857163	0.848298	0.845953	
941.798828	0.855412	0.848952	0.845481	
943.370605	0.855158	0.848694	0.846426	
944.942383	0.858379	0.848709	0.845746	
946.513855	0.857841	0.848064	0.847015	
948.085266	0.854700	0.847938	0.846325	
949.656433	0.856959	0.851730	0.846243	
951.227417	0.854977	0.849088	0.845827	
952.798340	0.855585	0.847712	0.845090	
954.369019	0.857238	0.849154	0.847186	
955.939575	0.854506	0.848594	0.845603	
957.509888	0.853438	0.848354	0.844439	
959.080078	0.855581	0.849294	0.846101	
960.650085	0.855728	0.850717	0.847925	
962.219910	0.856812	0.849735	0.847854	
963.789551	0.856308	0.850130	0.845471	
965.359070	0.854655	0.848710	0.846086	
966.928406	0.854330	0.848664	0.847018	
968.497559	0.854422	0.849225	0.847630	
970.066589	0.854534	0.849599	0.845809	
971.635376	0.855669	0.848705	0.845524	
973.203979	0.854708	0.848913	0.846366	
974.772461	0.853976	0.849176	0.846058	
976.340698	0.854858	0.849927	0.846448	
977.908875	0.856443	0.848858	0.845865	
979.476868	0.855205	0.849045	0.845889	
981.044556	0.855324	0.849242	0.844745	
982.612183	0.855183	0.848971	0.846338	
984.179565	0.855066	0.848596	0.845659	
985.746765	0.855040	0.849747	0.846355	
987.313843	0.853856	0.851529	0.846951	
988.880737	0.855446	0.849878	0.846759	
990.447449	0.855970	0.849850	0.846778	
992.013977	0.855160	0.850832	0.847249	
993.580261	0.854684	0.848016	0.846417	
995.146362	0.855337	0.849469	0.845879	
996.712402	0.856314	0.849683	0.846404	
998.278198	0.855375	0.849656	0.846289	
999.843872	0.854579	0.849848	0.847414	
1013.384583	0.856323	0.852559	0.851246	
1016.809387	0.856330	0.849912	0.848050	
1020.234192	0.860244	0.853022	0.848120	
1023.658997	0.857966	0.854039	0.850174	
1027.083740	0.857429	0.853934	0.848115	
1030.508545	0.861246	0.854218	0.849006	
1033.933350	0.859125	0.854131	0.848140	
1037.358154	0.858563	0.852808	0.847490	
1040.782959	0.858831	0.854164	0.849042	
1044.207764	0.860580	0.854838	0.848597	
