2020-09-24 nBSQ in PMMA grosse Substrate INT
Wavelength (nm)	No1 5pct nBSQ	No2 1pct nBSQ	No3 0.5pct nBSQ
1480.399048	0.881448	0.881664	0.885692	
1483.852295	0.881088	0.880401	0.882750	
1487.306030	0.883256	0.880530	0.883623	
1490.760254	0.885286	0.881474	0.883688	
1494.214844	0.885893	0.883834	0.887957	
1497.669922	0.883928	0.878466	0.881899	
1501.125488	0.884941	0.883322	0.886284	
1504.581421	0.887802	0.881876	0.883517	
1508.037842	0.885082	0.882550	0.885356	
1511.494751	0.880681	0.881402	0.885140	
1514.952026	0.885323	0.882814	0.883740	
1518.409912	0.887438	0.882115	0.883314	
1521.868164	0.888495	0.885017	0.889149	
1525.326904	0.885591	0.881176	0.884918	
1528.786011	0.889904	0.884947	0.887222	
1532.245728	0.885764	0.880881	0.886492	
1535.705811	0.887586	0.883880	0.887932	
1539.166504	0.888274	0.884532	0.885693	
1542.627686	0.886286	0.883516	0.886415	
1546.089233	0.887806	0.885286	0.888486	
1549.551392	0.888270	0.886134	0.889971	
1553.013916	0.888386	0.887193	0.890703	
1556.477051	0.890734	0.887264	0.890150	
1559.940674	0.890937	0.887670	0.888831	
1563.404785	0.886342	0.884553	0.888599	
1566.869385	0.893640	0.888563	0.889419	
1570.334595	0.892271	0.888227	0.891933	
1573.800171	0.890632	0.886142	0.890048	
1577.266357	0.891640	0.888887	0.893645	
1580.733032	0.885483	0.884746	0.892139	
1584.200195	0.890419	0.885607	0.891547	
1587.667969	0.890173	0.883473	0.886201	
1591.136230	0.894372	0.888881	0.890930	
1594.604980	0.887921	0.885262	0.889089	
1598.074341	0.891608	0.888010	0.892543	
1601.544189	0.890034	0.885807	0.891573	
1605.014648	0.892541	0.888283	0.890125	
1608.485596	0.892628	0.886150	0.890392	
1611.957153	0.895721	0.889740	0.891831	
1615.429199	0.895552	0.889459	0.889774	
1618.901855	0.894729	0.889428	0.890138	
1622.375000	0.890770	0.886807	0.893210	
1625.848877	0.891859	0.888975	0.891697	
1629.323120	0.895301	0.889350	0.894222	
1632.797974	0.894910	0.891559	0.893831	
1636.273438	0.893234	0.888229	0.892788	
1639.749390	0.896071	0.891626	0.892909	
1643.226196	0.893116	0.888123	0.891715	
1646.703369	0.892836	0.888570	0.893450	
1650.181030	0.892335	0.885247	0.891920	
1653.659546	0.891176	0.885171	0.891934	
1657.138428	0.896081	0.890937	0.897165	
1660.617920	0.892469	0.887358	0.886787	
1664.098267	0.893194	0.888044	0.891990	
1667.578857	0.893867	0.891248	0.891240	
1671.060303	0.894124	0.888238	0.889240	
1674.542358	0.896529	0.892823	0.895251	
1678.025024	0.897258	0.892297	0.896776	
1681.508179	0.903280	0.894756	0.898893	
1684.991943	0.899472	0.891710	0.891582	
1688.476563	0.899385	0.897506	0.901343	
