NoP PMMA 40mgmL
Wavelength (nm)	Intensity
652.109009	0.869050	
653.703918	0.868928	
655.298706	0.868805	
656.893433	0.868372	
658.488159	0.867495	
660.082703	0.867688	
661.677185	0.868323	
663.271606	0.868876	
664.865906	0.868137	
666.460144	0.868702	
668.054321	0.868868	
669.648315	0.868133	
671.242310	0.868280	
672.836121	0.869007	
674.429871	0.869062	
676.023560	0.868943	
677.617126	0.868708	
679.210571	0.868308	
680.804016	0.868766	
682.397339	0.868754	
683.990479	0.868443	
685.583618	0.868328	
687.176636	0.868409	
688.769470	0.867892	
690.362305	0.868215	
691.955017	0.868238	
693.547607	0.868535	
695.140137	0.867781	
696.732544	0.868378	
698.324829	0.868635	
699.917053	0.868057	
701.509155	0.868518	
703.101196	0.868440	
704.693054	0.868511	
706.284851	0.867873	
707.876587	0.868145	
709.468140	0.868284	
711.059631	0.868483	
712.651001	0.868834	
714.242249	0.868905	
715.833374	0.868670	
717.424438	0.868382	
719.015442	0.868190	
720.606262	0.868202	
722.196960	0.867504	
723.787598	0.867415	
725.378052	0.867156	
726.968445	0.867776	
728.558716	0.868147	
730.148926	0.867159	
731.738953	0.867700	
733.328918	0.867558	
734.918762	0.866828	
736.508423	0.866594	
738.098022	0.867188	
739.687561	0.867155	
741.276917	0.867024	
742.866150	0.866445	
744.455322	0.866859	
746.044312	0.866323	
747.633179	0.866616	
749.221985	0.867001	
750.810669	0.867371	
752.399170	0.866506	
753.987610	0.866860	
755.575867	0.866356	
757.164063	0.866518	
758.752136	0.866115	
760.340027	0.865634	
761.927856	0.865990	
763.515503	0.865804	
765.103149	0.865334	
766.690552	0.865370	
768.277832	0.865600	
769.865051	0.864962	
771.452026	0.864935	
773.039001	0.865430	
774.625793	0.865387	
776.212463	0.864488	
777.799011	0.864399	
779.385376	0.863971	
780.971680	0.864202	
782.557861	0.863911	
784.143860	0.863599	
785.729736	0.863914	
787.315491	0.863225	
788.901123	0.863274	
790.486633	0.863483	
792.071960	0.863497	
793.657166	0.863701	
795.242249	0.862649	
796.827209	0.863128	
798.411987	0.861708	
799.996704	0.862113	
801.581177	0.862411	
803.165649	0.862287	
804.749878	0.861847	
806.333984	0.861509	
807.917969	0.860786	
809.501831	0.861326	
811.085510	0.860378	
812.669067	0.860973	
814.252502	0.860482	
815.835754	0.860691	
817.418884	0.860402	
819.001831	0.860701	
820.584656	0.859677	
822.167358	0.860074	
823.750000	0.859615	
825.332336	0.859859	
826.914673	0.859433	
828.496704	0.859539	
830.078735	0.859339	
831.660522	0.859805	
833.242188	0.859417	
834.823730	0.858433	
836.405090	0.858544	
837.986206	0.858434	
839.567261	0.858247	
841.148254	0.859045	
842.729004	0.857879	
844.309570	0.857318	
845.890015	0.857927	
847.470398	0.858190	
849.050476	0.857803	
850.630493	0.857648	
852.210327	0.857770	
853.790039	0.857916	
855.369507	0.856989	
856.948914	0.856352	
858.528137	0.857432	
860.107239	0.857359	
861.686035	0.856632	
863.264832	0.856786	
864.843384	0.855928	
866.421753	0.856657	
868.000000	0.856302	
869.578125	0.855658	
871.156067	0.855588	
872.733765	0.856125	
874.311401	0.855903	
875.888855	0.854711	
877.466125	0.855173	
879.043274	0.855196	
880.620239	0.854954	
882.196960	0.855039	
883.773560	0.855008	
885.349976	0.854740	
886.926270	0.854287	
888.502319	0.854732	
890.078308	0.854032	
891.654114	0.854372	
893.229675	0.854256	
894.805054	0.855039	
896.380371	0.854965	
897.955444	0.854098	
899.530396	0.854904	
901.105103	0.853449	
902.679565	0.854008	
904.254028	0.854775	
905.828247	0.853843	
907.402222	0.853517	
908.976196	0.853531	
910.549805	0.853024	
912.123352	0.853956	
913.696655	0.853745	
915.269836	0.853836	
916.842773	0.853791	
918.415649	0.854413	
919.988159	0.853053	
921.560669	0.853454	
923.132935	0.853800	
924.704956	0.852574	
926.276855	0.852911	
927.848511	0.853919	
929.420105	0.852200	
930.991394	0.852549	
932.562622	0.852262	
934.133606	0.852356	
935.704407	0.853207	
937.275024	0.854258	
938.845398	0.852613	
940.415649	0.851071	
941.985657	0.854124	
943.555481	0.853220	
945.125183	0.853868	
946.694641	0.852280	
948.263977	0.853071	
949.833008	0.853289	
951.401978	0.852695	
952.970581	0.852583	
954.539185	0.853576	
956.107544	0.855053	
957.675659	0.854058	
959.243530	0.853340	
960.811340	0.853037	
962.378906	0.853226	
963.946167	0.853389	
965.513367	0.853846	
967.080383	0.854761	
968.647156	0.853727	
970.213684	0.853257	
971.780090	0.853455	
973.346313	0.852544	
974.912231	0.853509	
976.478027	0.853719	
978.043579	0.853559	
979.609009	0.854244	
981.174133	0.853975	
982.739075	0.853565	
