2021-07-05 SQIB in PMMA 40mgmL medium spin speed dried at 60C
Wavelength (nm)	No1 10pct	No2 4pct	No3 2pct	No4 1pct	No5 0.5pct
351.369904	0.781945	0.790777	0.782666	0.768923	0.811850	
352.971008	0.787399	0.796450	0.785632	0.772398	0.816901	
354.572083	0.790092	0.800419	0.790454	0.777495	0.820414	
356.173218	0.793472	0.803710	0.794056	0.780480	0.825167	
357.774353	0.795772	0.806500	0.797719	0.784714	0.827908	
359.375519	0.797043	0.808493	0.799955	0.786076	0.830631	
360.976685	0.798547	0.810912	0.801906	0.789013	0.834606	
362.577881	0.801403	0.813408	0.804279	0.791206	0.837201	
364.179108	0.804460	0.815816	0.806932	0.794430	0.838844	
365.780334	0.807597	0.818468	0.810238	0.796486	0.840880	
367.381561	0.811904	0.822690	0.812884	0.798769	0.843184	
368.982849	0.815614	0.825227	0.815236	0.801789	0.845377	
370.584106	0.818196	0.828378	0.816137	0.802448	0.846071	
372.185364	0.820394	0.829635	0.817934	0.803159	0.847474	
373.786682	0.822828	0.830460	0.818617	0.804282	0.848322	
375.388000	0.824221	0.830878	0.818778	0.805017	0.847159	
376.989319	0.824499	0.832197	0.818985	0.803530	0.847614	
378.590637	0.823632	0.831800	0.818330	0.803019	0.846852	
380.191986	0.823782	0.830251	0.818337	0.803193	0.845927	
381.793365	0.823487	0.830328	0.817861	0.803333	0.846453	
383.394714	0.823566	0.830285	0.818365	0.804288	0.848077	
384.996094	0.823101	0.831880	0.819054	0.804726	0.849257	
386.597473	0.823121	0.832402	0.820598	0.806067	0.849674	
388.198853	0.823806	0.833357	0.821238	0.806716	0.850948	
389.800232	0.823522	0.833937	0.821814	0.808172	0.851611	
391.401672	0.824332	0.835068	0.823276	0.810114	0.853106	
393.003082	0.824919	0.836352	0.824426	0.810801	0.854738	
394.604492	0.824789	0.835757	0.824966	0.811603	0.855599	
396.205902	0.826458	0.838163	0.826629	0.812200	0.856411	
397.807312	0.827002	0.839231	0.826667	0.813051	0.857324	
399.408752	0.827971	0.839720	0.827850	0.813797	0.858007	
401.010193	0.829318	0.840751	0.828833	0.814297	0.858043	
402.611633	0.831338	0.842087	0.829238	0.815498	0.858319	
