2021-07-05 SQIB 5mg/mL no annealing high = medium spin speed
Wavelength (nm)	No8 SQIB neat	No9 SQIB neat
505.083893	0.866320	0.853485	
506.684326	0.865152	0.851793	
508.284729	0.863939	0.849228	
509.885071	0.862657	0.846578	
511.485352	0.860678	0.844472	
513.085632	0.859203	0.842141	
514.685913	0.857402	0.839285	
516.286072	0.854918	0.835411	
517.886292	0.852487	0.832041	
519.486450	0.850123	0.828443	
521.086487	0.847423	0.823467	
522.686584	0.844593	0.818915	
524.286560	0.841424	0.813949	
525.886536	0.838017	0.808332	
527.486450	0.833605	0.801657	
529.086365	0.828780	0.795157	
530.686218	0.823937	0.787882	
532.286011	0.819125	0.780226	
533.885803	0.813311	0.771223	
535.485474	0.807089	0.762855	
537.085144	0.800548	0.753366	
538.684814	0.793714	0.743870	
540.284363	0.786853	0.733138	
541.883911	0.779734	0.723389	
543.483398	0.772422	0.712662	
545.082886	0.764811	0.702260	
546.682251	0.756122	0.691660	
548.281616	0.748696	0.680881	
549.880920	0.741280	0.670477	
551.480164	0.733368	0.659866	
553.079346	0.724788	0.649377	
554.678528	0.716656	0.639337	
556.277649	0.708812	0.628811	
557.876648	0.700214	0.618428	
559.475647	0.692394	0.607999	
561.074585	0.684768	0.597816	
562.673462	0.676463	0.587727	
564.272339	0.668487	0.577904	
565.871094	0.660274	0.568244	
567.469849	0.652168	0.558005	
569.068481	0.644258	0.549394	
570.667114	0.636694	0.539503	
572.265686	0.628985	0.530838	
573.864136	0.621566	0.521924	
575.462646	0.614174	0.513121	
577.060974	0.606259	0.504915	
578.659302	0.599122	0.496761	
580.257629	0.592772	0.488676	
581.855835	0.586140	0.481174	
583.453979	0.578921	0.473739	
585.052063	0.571892	0.466168	
586.650024	0.565094	0.458452	
588.248047	0.558483	0.450968	
589.845947	0.552094	0.443895	
591.443726	0.545888	0.437201	
593.041565	0.539077	0.430420	
594.639282	0.533088	0.423333	
596.236877	0.526532	0.416750	
597.834473	0.520037	0.410292	
599.432007	0.513680	0.403689	
601.029419	0.507746	0.397351	
602.626770	0.501394	0.391075	
604.224060	0.495350	0.385243	
605.821350	0.489912	0.379469	
607.418518	0.484254	0.373491	
609.015564	0.478726	0.368237	
610.612671	0.473016	0.363271	
612.209595	0.467976	0.357640	
613.806519	0.462734	0.352727	
615.403259	0.457891	0.348042	
617.000061	0.452975	0.343696	
618.596741	0.448449	0.339169	
620.193298	0.443934	0.334790	
621.789856	0.439874	0.330383	
623.386292	0.434994	0.326322	
624.982666	0.430360	0.322461	
626.578979	0.426432	0.318658	
628.175171	0.423059	0.315169	
629.771362	0.419127	0.311677	
631.367371	0.415344	0.308280	
632.963379	0.411577	0.304926	
634.559265	0.408102	0.301614	
636.155151	0.404696	0.298847	
637.750854	0.401356	0.295510	
639.346558	0.397663	0.292403	
640.942139	0.394202	0.289384	
642.537659	0.390667	0.286432	
644.133057	0.387108	0.283108	
645.728394	0.383401	0.279996	
647.323669	0.379637	0.276548	
648.918823	0.375506	0.273148	
650.513977	0.371560	0.269685	
652.109009	0.367502	0.266076	
653.703918	0.363161	0.262121	
655.298706	0.357982	0.257587	
656.893433	0.352429	0.252711	
658.488159	0.348120	0.249202	
660.082703	0.345131	0.246565	
661.677185	0.341966	0.243996	
663.271606	0.337471	0.240463	
