SQIB isotropic	n	k	e1	e2												
503.48346	1.09163	0.08027	1.18521	0.17524
505.08389	1.07859	0.08213	1.15661	0.17717
506.68433	1.06508	0.0844	1.12727	0.17979
508.28473	1.05107	0.0871	1.09717	0.1831
509.88507	1.03656	0.09025	1.06631	0.1871
511.48535	1.0215	0.09389	1.03465	0.19182
513.08563	1.00587	0.09804	1.00216	0.19724
514.68591	0.9896	0.10276	0.96875	0.20339
516.28607	0.97262	0.10814	0.93429	0.21036
517.88629	0.95488	0.11432	0.89872	0.21833
519.48645	0.93637	0.12145	0.86204	0.22744
521.08649	0.91712	0.12967	0.82429	0.23785
522.68658	0.89713	0.13917	0.78548	0.24971
524.28656	0.87649	0.15012	0.7457	0.26315
525.88654	0.85527	0.16271	0.70501	0.27832
527.48645	0.8336	0.17715	0.66351	0.29534
529.08637	0.81166	0.19364	0.6213	0.31433
530.68622	0.78969	0.21238	0.57851	0.33543
532.28601	0.768	0.23355	0.53527	0.35873
533.8858	0.74696	0.25727	0.49177	0.38434
535.48547	0.72705	0.2836	0.44817	0.41239
537.08514	0.7088	0.31246	0.40476	0.44295
538.68481	0.69273	0.34355	0.36185	0.47598
540.28436	0.67924	0.37641	0.31969	0.51135
541.88391	0.66854	0.41052	0.27841	0.5489
543.4834	0.6607	0.44538	0.23816	0.58852
545.08289	0.65566	0.48048	0.19903	0.63006
546.68225	0.65326	0.51541	0.1611	0.67339
548.28162	0.65327	0.54985	0.12443	0.7184
549.88092	0.65543	0.58355	0.08906	0.76496
551.48016	0.65949	0.61635	0.05504	0.81295
553.07935	0.66518	0.64814	0.02238	0.86226
554.67853	0.67228	0.67888	-0.00891	0.91279
556.27765	0.68057	0.70853	-0.03884	0.96442
557.87665	0.68988	0.73712	-0.06742	1.01705
559.47565	0.70003	0.76467	-0.09469	1.07058
561.07458	0.71087	0.79123	-0.12071	1.12492
562.67346	0.72228	0.81687	-0.1456	1.18001
564.27234	0.73417	0.84169	-0.16943	1.23588
565.87109	0.7465	0.86575	-0.19226	1.29256
567.46985	0.75922	0.88912	-0.21411	1.35008
569.06848	0.77232	0.91184	-0.23498	1.40847
570.66711	0.78576	0.93397	-0.25487	1.46775
572.26569	0.79953	0.95553	-0.27378	1.52795
573.86414	0.81362	0.97656	-0.29168	1.5891
575.46265	0.82803	0.99708	-0.30855	1.65122
577.06097	0.84273	1.01713	-0.32437	1.71433
578.6593	0.85773	1.03672	-0.33909	1.77847
580.25763	0.87303	1.05588	-0.35269	1.84363
581.85583	0.88863	1.0746	-0.3651	1.90985
583.45398	0.90453	1.09291	-0.37628	1.97715
585.05206	0.92074	1.11082	-0.38615	2.04554
586.65002	0.93725	1.12831	-0.39465	2.11503
588.24805	0.9541	1.1454	-0.40164	2.18566
589.84595	0.97128	1.16206	-0.40699	2.25735
