tips Pentacene in toluene 1uM,
X,Y
501.7723739527569,0.05779992443522475
503.94329279809097,0.06345790265350937
505.95689868361825,0.06592670216785379
508.04916104904896,0.06592670216785379
510.1414234144797,0.06592670216785379
512.2336857799104,0.06592670216785379
514.325948145341,0.06549897702403107
516.4182105107718,0.06293262616109563
518.5104728762025,0.06293262616109563
520.6027352416331,0.06207717587345041
522.6949976070639,0.06293262616109563
524.7872599724946,0.06535640197609038
526.8795223379253,0.06934850331843445
528.971784703356,0.07631091815954638
531.0640470687867,0.08469908348006694
533.1563094342174,0.09729321271484292
535.2485717996481,0.11067150471329357
537.3408341650788,0.12849338570590096
539.4330965305095,0.14510337879101132
541.5253588959401,0.1609054466044565
543.6176212613709,0.1727391755835479
545.7098836268016,0.18184021614377277
547.8021459922323,0.18540459234229423
549.894408357663,0.18483429215053082
551.9866707230937,0.17922634026485706
554.0789330885244,0.1705530248484548
556.1711954539551,0.1607391090485255
558.2634578193858,0.15249351877594575
560.3557201848165,0.1434875282476814
562.4479825502472,0.13906770176151484
564.5402449156779,0.13728551366225406
566.6325072811086,0.13866373912568242
568.7247696465394,0.14562615396679446
570.81703201197,0.15722225786598432
572.7598470655843,0.1746005720427758
574.7026621191985,0.1966917836376123
576.3963983197852,0.2201983876955541
577.89087143795,0.2453657867689517
578.8754654922703,0.2674397588972073
580.1953923042215,0.2961668078469588
581.3779753803345,0.3253252283611964
582.2684322799076,0.35005203989249856
583.3207904339488,0.37681159420289867
584.5599577277603,0.4076880030225912
585.6123158818014,0.43619410167026684
586.7580786057277,0.4596476970565383
588.3521832651035,0.4849310055580508
590.4444456305342,0.4980954349845901
592.5367079959649,0.4929389707507289
594.6289703613957,0.47822997830483027
596.6216011856153,0.455340429818746
598.1160743037801,0.4326102834197534
599.1622054864954,0.4100791053890993
600.3141951817474,0.38538837443059104
601.4537309343482,0.3630055770606253
602.6991251994855,0.3388866314506299
603.7950721528064,0.31693007406773754
605.2397295003656,0.291813103122156
606.9832814715578,0.263976023908997
608.8762807545666,0.23725438477678695
610.9685431199973,0.219361216260209
613.060805485428,0.20543638657798513
615.1530678508586,0.19966209713638028
617.2453302162894,0.19723832132138563
619.3375925817201,0.2013729977116705
621.4298549471507,0.21399088945443667
623.372670000765,0.23298505417455795
624.8671431189298,0.25405447792581837
626.3118004664891,0.28035538088714407
627.4207428382288,0.3074054409737752
628.3044312907089,0.33625547374772136
629.3124680606081,0.36339695954516893
630.086077674717,0.39583278295171453
631.006204261195,0.42521582297882055
631.6919036918823,0.4546575703786081
632.2398771685428,0.4786101784326726
632.8376664158086,0.5040598244901162
633.385639892469,0.5326396409182612
633.983429139735,0.5599946080709144
634.5314026163954,0.5893909906827207
635.1727806629411,0.621171859962788
635.7650755237432,0.6549671259679903
636.3247703581932,0.6896925369091156
636.8229280642481,0.7238749046529368
637.4643061107938,0.7712811080932727
637.121822687881,0.7440849176985537
638.0566009715959,0.8097197603565047
638.6162958060459,0.8463825145961206
639.1580423113805,0.8822490500937432
639.7503371721826,0.913984054238903
640.3100320066326,0.9481810988258946
641.6550578129809,0.9801351168980194
643.1433039598201,0.9899422214618221
644.0960305726501,0.9661455548664429
644.7934513611269,0.944438503817447
645.3414248377874,0.921733427432865
645.845809515168,0.8890169094006859
646.3875560205028,0.8550320675045328
646.9472508549527,0.8187606957494605
647.5395457157547,0.782259386784719
647.8820291386676,0.7460809683697257
648.4798183859334,0.7301125630003494
648.6409870555394,0.6982931670069599
649.2332819163415,0.6578181027538372
649.5757653392543,0.6210782950875768
650.1735545865201,0.6053593960520971
650.3728176689422,0.5729235726455515
650.9325125033921,0.5353802078157126
651.5248073641942,0.49782216614270347
652.0665538695289,0.4618100852836413
652.7141588874003,0.4303420440206942
653.3119481346662,0.40112712056081257
653.7602900701156,0.3704907670775205
654.4577108585926,0.34337774546076705
655.005684335253,0.3195612317706461
655.6913837659404,0.29077593953811565
656.4503416828122,0.2620386806105065
656.9983151594727,0.239084097892028
657.7455517185551,0.21579684006168753
658.6920513600594,0.1896524900941794
659.8876298545913,0.1593301321041688
660.9835768079122,0.13164960588482721
662.6773130084989,0.10934080426584558
664.5703122915077,0.08481789602001766
666.6625746569383,0.06521382692814948
668.754837022369,0.05043354695828017
670.8470993877997,0.03919388067894225
672.9393617532304,0.03180374069400793
675.0316241186612,0.028144314463525832
677.1238864840918,0.022940325213684387
679.2161488495226,0.01852049872751782
681.3084112149533,0.017522473391931692
683.4006735803839,0.016334347992424725
685.4929359458147,0.014789784973065379
687.5851983112453,0.013245221953706032
689.677460676676,0.012532346714001719
691.7697230421068,0.012532346714001719
693.8619854075374,0.012532346714001719
695.9542477729682,0.012532346714001719
697.9966943677933,0.012532346714001719
