P3HT,,TIPS-pentacene,,PCDTPT,,DPPDTT,
X,Y,X,Y,X,Y,X,Y
213.759926191967,0.0305466173032896,214.471646512241,0.0581552982015463,215.393368260349,0.0576828436749579,213.190835674157,0.047432803856839
237.536656891496,0.0253599637176491,238.24837721177,0.0480998056818516,241.187518534384,0.0478262510073011,229.314431179775,0.0350105845953426
261.313387591024,0.0243667747331644,262.025107911299,0.0498678043666332,264.964249233913,0.0434062542953475,249.468925561798,0.0305412341651625
285.090118290553,0.0237046487435082,285.801838610828,0.0580447982837469,288.740979933441,0.0389862575833937,273.222436797753,0.0264581238956154
308.866848990082,0.0231528770854612,309.578569310356,0.0660007923652639,312.51771063297,0.036776259227417,296.975948033708,0.0259063522375687
332.643579689611,0.0231528770854612,333.355300009885,0.0751722855425676,336.294441332499,0.0385442579121984,320.729459269663,0.0265684782272249
356.42031038914,0.0238150030751174,357.132030709414,0.0685422904746371,360.071172032028,0.0419697553639624,344.482970505618,0.0282237932013656
380.197041088668,0.0249185463912114,380.908761408943,0.0516358030514144,383.847902731557,0.0494837497742837,368.236481741573,0.0324172578025221
403.973771788197,0.0267945700285708,404.685492108472,0.0427958096275072,407.624633431085,0.0640697389237308,391.989992977528,0.0350657617611474
427.750502487726,0.0277877590130555,428.462222808,0.0413593106961221,431.401364130614,0.0777717287307873,415.743504213483,0.0382660373778196
451.527233187255,0.0305466173032896,452.238953507529,0.0405858112715301,455.178094830143,0.0754512304570116,439.497015449438,0.0404731240100071
475.303963886784,0.0338572472515715,476.015684207058,0.0362763144773752,478.123471309408,0.054073746359774,463.250526685393,0.040142061015179
499.080694586312,0.0377196488578999,499.792414906587,0.0343978158747951,502.731556229201,0.0376602585698076,487.004037921348,0.0372728483933349
522.857425285841,0.0408095701429625,523.569145606116,0.0340663161213985,526.508286928729,0.0355607601316297,510.757549157303,0.035838242082413
546.63415598537,0.0421338221222749,547.345876305644,0.0357238148883812,550.285017628258,0.0374392587342098,534.511060393259,0.0346243444347099
570.410886684899,0.0402577984849155,571.122607005173,0.0359448147239791,574.061748327787,0.0413067558571694,558.264571629214,0.03639001374046
594.187617384428,0.0363953968785871,594.899337704702,0.0363868143951742,597.838479027316,0.0453952528157264,582.018082865169,0.041245604331273
