;Filter 1;Filter 2
filter glass type;UG5;BG39
Reflection factor  P;0.910;0.910
Reference thickness;1.00;1.00
Filter thickness   d;3.000;3.000
?[nm];ti 1;ti 2
394;3.53E-01;6.21E-01
395;3.23E-01;6.26E-01
396;2.91E-01;6.31E-01
397;2.62E-01;6.35E-01
398;2.34E-01;6.40E-01
399;2.09E-01;6.44E-01
400;1.85E-01;6.49E-01
401;1.64E-01;6.53E-01
402;1.45E-01;6.58E-01
403;1.27E-01;6.63E-01
404;1.11E-01;6.67E-01
405;9.54E-02;6.72E-01
406;8.35E-02;6.76E-01
407;7.24E-02;6.81E-01
408;6.25E-02;6.85E-01
409;5.36E-02;6.89E-01
410;4.67E-02;6.93E-01
411;4.07E-02;6.97E-01
412;3.56E-02;7.01E-01
413;3.11E-02;7.05E-01
414;2.72E-02;7.08E-01
415;2.39E-02;7.12E-01
416;2.12E-02;7.16E-01
417;1.87E-02;7.20E-01
418;1.64E-02;7.24E-01
419;1.47E-02;7.28E-01
420;1.31E-02;7.32E-01
421;1.17E-02;7.35E-01
422;1.06E-02;7.39E-01
423;9.64E-03;7.44E-01
424;8.74E-03;7.47E-01
425;8.00E-03;7.51E-01
426;7.36E-03;7.55E-01
427;6.82E-03;7.59E-01
428;6.33E-03;7.62E-01
429;5.95E-03;7.66E-01
430;5.64E-03;7.69E-01
431;5.37E-03;7.72E-01
432;5.19E-03;7.75E-01
433;5.04E-03;7.78E-01
434;4.91E-03;7.81E-01
435;4.83E-03;7.84E-01
436;4.76E-03;7.88E-01
437;4.72E-03;7.91E-01
438;4.72E-03;7.94E-01
439;4.72E-03;7.97E-01
440;4.74E-03;8.00E-01
441;4.77E-03;8.03E-01
442;4.84E-03;8.05E-01
443;4.91E-03;8.08E-01
444;5.00E-03;8.10E-01
445;5.09E-03;8.13E-01
446;5.18E-03;8.16E-01
447;5.29E-03;8.18E-01
448;5.41E-03;8.21E-01
449;5.52E-03;8.24E-01
450;5.64E-03;8.26E-01
451;5.75E-03;8.29E-01
452;5.86E-03;8.31E-01
453;5.97E-03;8.33E-01
454;6.06E-03;8.35E-01
455;6.13E-03;8.38E-01
456;6.17E-03;8.40E-01
457;6.19E-03;8.42E-01
458;6.19E-03;8.45E-01
459;6.17E-03;8.48E-01
460;6.13E-03;8.51E-01
461;6.06E-03;8.53E-01
462;5.97E-03;8.55E-01
463;5.83E-03;8.57E-01
464;5.70E-03;8.59E-01
465;5.55E-03;8.62E-01
466;5.37E-03;8.64E-01
467;5.18E-03;8.66E-01
468;4.97E-03;8.68E-01
469;4.76E-03;8.71E-01
470;4.57E-03;8.73E-01
471;4.39E-03;8.75E-01
472;4.21E-03;8.77E-01
473;4.03E-03;8.79E-01
474;3.87E-03;8.81E-01
475;3.72E-03;8.84E-01
476;3.60E-03;8.86E-01
477;3.48E-03;8.87E-01
478;3.39E-03;8.89E-01
479;3.28E-03;8.91E-01
480;3.18E-03;8.92E-01
481;3.06E-03;8.93E-01
482;2.94E-03;8.94E-01
483;2.81E-03;8.96E-01
484;2.69E-03;8.97E-01
485;2.57E-03;8.98E-01
486;2.46E-03;8.99E-01
487;2.35E-03;9.00E-01
488;2.23E-03;9.01E-01
489;2.12E-03;9.02E-01
490;2.00E-03;9.03E-01
491;1.87E-03;9.05E-01
492;1.75E-03;9.06E-01
493;1.61E-03;9.07E-01
494;1.49E-03;9.08E-01
495;1.37E-03;9.09E-01
496;1.25E-03;9.10E-01
497;1.14E-03;9.11E-01
498;1.04E-03;9.11E-01
499;9.41E-04;9.12E-01
500;8.57E-04;9.13E-01
501;7.86E-04;9.14E-01
502;7.18E-04;9.14E-01
503;6.59E-04;9.15E-01
504;6.01E-04;9.15E-01
505;5.51E-04;9.15E-01
506;5.01E-04;9.15E-01
507;4.57E-04;9.14E-01
508;4.18E-04;9.14E-01
509;3.79E-04;9.14E-01
510;3.43E-04;9.13E-01
511;3.08E-04;9.13E-01
512;2.75E-04;9.12E-01
513;2.38E-04;9.11E-01
514;2.10E-04;9.11E-01
515;1.85E-04;9.10E-01
516;1.62E-04;9.09E-01
517;1.44E-04;9.08E-01
518;1.25E-04;9.06E-01
519;1.11E-04;9.05E-01
520;9.73E-05;9.03E-01
521;8.52E-05;9.01E-01
522;7.63E-05;8.99E-01
523;6.79E-05;8.97E-01
524;6.13E-05;8.95E-01
525;5.49E-05;8.92E-01
526;5.00E-05;8.89E-01
527;4.53E-05;8.86E-01
528;4.16E-05;8.82E-01
529;3.85E-05;8.79E-01
530;3.59E-05;8.75E-01
531;3.40E-05;8.72E-01
532;3.26E-05;8.68E-01
533;3.15E-05;8.64E-01
534;3.06E-05;8.61E-01
535;2.98E-05;8.56E-01
536;2.90E-05;8.52E-01
537;2.83E-05;8.47E-01
538;2.81E-05;8.42E-01
539;2.81E-05;8.37E-01
540;2.81E-05;8.32E-01
541;2.84E-05;8.26E-01
542;2.88E-05;8.20E-01
543;2.94E-05;8.13E-01
544;2.98E-05;8.07E-01
545;3.00E-05;8.00E-01
546;2.98E-05;7.93E-01
547;2.95E-05;7.85E-01
548;2.90E-05;7.77E-01
549;2.83E-05;7.69E-01
550;2.74E-05;7.61E-01
551;2.64E-05;7.51E-01
552;2.49E-05;7.44E-01
553;2.32E-05;7.34E-01
554;2.16E-05;7.27E-01
555;1.97E-05;7.17E-01
556;1.78E-05;7.07E-01
557;1.60E-05;6.95E-01
558;1.39E-05;6.86E-01
559;1.22E-05;6.77E-01
560;1.06E-05;6.65E-01
561;9.26E-06;6.53E-01
562;7.80E-06;6.42E-01
563;6.55E-06;6.31E-01
564;5.41E-06;6.20E-01
565;4.43E-06;6.09E-01
566;3.60E-06;5.96E-01
567;2.93E-06;5.83E-01
568;2.29E-06;5.73E-01
569;1.84E-06;5.60E-01
570;1.47E-06;5.48E-01
571;1.20E-06;5.36E-01
572;9.79E-07;5.22E-01
573;8.15E-07;5.10E-01
574;6.84E-07;4.97E-01
575;5.93E-07;4.86E-01
576;5.43E-07;4.73E-01
577;5.08E-07;4.59E-01
578;4.92E-07;4.46E-01
579;4.84E-07;4.32E-01
580;4.76E-07;4.20E-01
581;4.80E-07;4.06E-01
582;4.91E-07;3.93E-01
583;5.08E-07;3.81E-01
584;5.28E-07;3.68E-01
585;5.57E-07;3.56E-01
586;5.84E-07;3.42E-01
587;6.12E-07;3.31E-01
588;6.49E-07;3.18E-01
589;6.91E-07;3.07E-01
590;7.34E-07;2.94E-01
591;7.97E-07;2.83E-01
592;8.57E-07;2.71E-01
593;9.35E-07;2.59E-01
594;1.02E-06;2.48E-01
595;1.11E-06;2.37E-01
596;1.20E-06;2.27E-01
597;1.32E-06;2.16E-01
598;1.46E-06;2.06E-01
599;1.59E-06;1.96E-01
600;1.74E-06;1.87E-01
601;1.90E-06;1.77E-01
602;2.06E-06;1.68E-01
603;2.25E-06;1.60E-01
604;2.43E-06;1.51E-01
605;2.61E-06;1.43E-01
606;2.78E-06;1.35E-01
607;2.97E-06;1.27E-01
608;3.16E-06;1.19E-01
609;3.31E-06;1.12E-01
610;3.47E-06;1.05E-01
611;3.61E-06;9.89E-02
612;3.71E-06;9.26E-02
613;3.86E-06;8.66E-02
614;3.97E-06;8.08E-02
615;4.07E-06;7.53E-02
616;4.25E-06;7.01E-02
617;4.37E-06;6.56E-02
618;4.52E-06;6.08E-02
619;4.70E-06;5.68E-02
620;4.94E-06;5.24E-02
621;5.19E-06;4.87E-02
622;5.48E-06;4.49E-02
623;5.85E-06;4.15E-02
624;6.31E-06;3.80E-02
625;6.86E-06;3.51E-02
626;7.54E-06;3.23E-02
627;8.35E-06;2.96E-02
628;9.35E-06;2.74E-02
629;1.06E-05;2.50E-02
630;1.22E-05;2.28E-02
631;1.40E-05;2.09E-02
632;1.59E-05;1.89E-02
633;1.87E-05;1.73E-02
634;2.22E-05;1.55E-02
635;2.68E-05;1.41E-02
636;3.32E-05;1.27E-02
637;4.14E-05;1.16E-02
638;5.26E-05;1.05E-02
639;6.70E-05;9.49E-03
640;8.52E-05;8.46E-03
641;1.08E-04;7.62E-03
642;1.37E-04;6.84E-03
643;1.75E-04;6.12E-03
644;2.24E-04;5.44E-03
645;2.87E-04;4.82E-03
646;3.71E-04;4.33E-03
647;4.75E-04;3.85E-03
648;6.16E-04;3.38E-03
649;7.95E-04;3.01E-03
650;1.03E-03;2.70E-03
651;1.34E-03;2.38E-03
652;1.73E-03;2.11E-03
653;2.24E-03;1.85E-03
654;2.80E-03;1.62E-03
655;3.65E-03;1.42E-03
656;4.69E-03;1.24E-03
657;5.89E-03;1.09E-03
658;7.53E-03;9.61E-04
659;9.53E-03;8.32E-04
660;1.17E-02;7.24E-04
661;1.47E-02;6.33E-04
662;1.82E-02;5.50E-04
663;2.20E-02;4.76E-04
664;2.65E-02;4.14E-04
665;3.16E-02;3.59E-04
666;3.79E-02;3.11E-04
667;4.47E-02;2.67E-04
668;5.27E-02;2.30E-04
669;6.12E-02;1.98E-04
670;7.10E-02;1.70E-04
671;8.12E-02;1.44E-04
672;9.23E-02;1.24E-04
673;1.05E-01;1.07E-04
674;1.18E-01;9.13E-05
675;1.33E-01;7.75E-05
676;1.46E-01;6.59E-05
677;1.61E-01;5.67E-05
678;1.77E-01;4.81E-05
679;1.93E-01;4.11E-05
680;2.11E-01;3.46E-05
681;2.27E-01;2.95E-05
682;2.43E-01;2.45E-05
683;2.62E-01;2.05E-05
684;2.81E-01;1.73E-05
685;2.98E-01;1.45E-05
686;3.14E-01;1.20E-05
687;3.31E-01;1.01E-05
688;3.47E-01;8.45E-06
689;3.66E-01;7.16E-06
690;3.84E-01;6.08E-06
691;4.00E-01;5.05E-06
692;4.15E-01;4.24E-06
693;4.29E-01;3.52E-06
694;4.43E-01;2.94E-06
695;4.57E-01;2.41E-06
696;4.68E-01;1.99E-06
697;4.79E-01;1.61E-06
698;4.90E-01;1.33E-06
699;5.01E-01;1.08E-06
700;5.10E-01;8.70E-07
701;5.19E-01;6.99E-07
702;5.28E-01;5.71E-07
703;5.35E-01;4.55E-07
704;5.42E-01;3.71E-07
705;5.47E-01;2.95E-07
706;5.53E-01;2.40E-07
707;5.58E-01;1.92E-07
708;5.62E-01;1.57E-07
709;5.66E-01;1.30E-07
710;5.70E-01;1.09E-07
711;5.73E-01;8.86E-08
712;5.75E-01;7.29E-08
713;5.77E-01;5.92E-08
714;5.79E-01;4.80E-08
715;5.80E-01;3.88E-08
716;5.80E-01;3.18E-08
717;5.80E-01;2.56E-08
718;5.79E-01;2.11E-08
719;5.77E-01;1.71E-08
720;5.76E-01;1.39E-08
721;5.74E-01;1.12E-08
722;5.72E-01;9.28E-09
723;5.69E-01;7.51E-09
724;5.66E-01;6.14E-09
725;5.64E-01;4.87E-09
726;5.61E-01;4.01E-09
727;5.58E-01;3.26E-09
728;5.54E-01;2.66E-09
729;5.51E-01;2.15E-09
730;5.47E-01;1.75E-09
731;5.43E-01;1.41E-09
732;5.39E-01;1.15E-09
733;5.35E-01;9.24E-10
734;5.30E-01;7.58E-10
735;5.26E-01;6.18E-10
736;5.21E-01;4.99E-10
737;5.16E-01;4.03E-10
738;5.12E-01;3.27E-10
739;5.07E-01;2.66E-10
740;5.02E-01;2.17E-10
741;4.98E-01;1.73E-10
742;4.93E-01;1.43E-10
743;4.88E-01;1.16E-10
744;4.83E-01;9.45E-11
745;4.78E-01;7.81E-11
746;4.74E-01;6.38E-11
747;4.68E-01;4.98E-11
748;4.64E-01;4.09E-11
749;4.59E-01;3.46E-11
750;4.55E-01;2.87E-11
751;4.50E-01;2.26E-11
752;4.46E-01;1.86E-11
753;4.41E-01;1.52E-11
754;4.37E-01;1.26E-11
755;4.32E-01;1.03E-11
