;Filter 1;Filter 2
filter glass type;UG5;BG39
Reflection factor  P;0.910;0.910
Reference thickness;1.00;1.00
Filter thickness   d;3.000;3.000
?[nm];ti 1;ti 2
1043;3.97E-01;6.40E-13
1044;3.97E-01;6.87E-13
1045;3.98E-01;7.43E-13
1046;3.98E-01;8.03E-13
1047;3.97E-01;8.58E-13
1048;3.97E-01;9.17E-13
1049;3.96E-01;9.84E-13
1050;3.96E-01;1.06E-12
1051;3.96E-01;1.14E-12
1052;3.96E-01;1.22E-12
1053;3.96E-01;1.32E-12
1054;3.96E-01;1.42E-12
1055;3.96E-01;1.51E-12
1056;3.96E-01;1.61E-12
1057;3.96E-01;1.73E-12
1058;3.96E-01;1.86E-12
1059;3.97E-01;1.99E-12
1060;3.97E-01;2.13E-12
1061;3.96E-01;2.30E-12
1062;3.96E-01;2.48E-12
1063;3.96E-01;2.68E-12
1064;3.95E-01;2.89E-12
1065;3.95E-01;3.10E-12
1066;3.94E-01;3.33E-12
1067;3.93E-01;3.58E-12
1068;3.92E-01;3.85E-12
1069;3.91E-01;4.12E-12
1070;3.90E-01;4.41E-12
1071;3.89E-01;4.76E-12
1072;3.89E-01;5.14E-12
1073;3.89E-01;5.46E-12
1074;3.88E-01;5.79E-12
1075;3.88E-01;6.23E-12
1076;3.87E-01;6.70E-12
1077;3.86E-01;7.16E-12
1078;3.86E-01;7.65E-12
1079;3.85E-01;8.22E-12
1080;3.84E-01;8.83E-12
1081;3.83E-01;9.50E-12
1082;3.82E-01;1.02E-11
1083;3.81E-01;1.10E-11
1084;3.80E-01;1.17E-11
1085;3.79E-01;1.26E-11
1086;3.78E-01;1.35E-11
1087;3.77E-01;1.44E-11
1088;3.75E-01;1.54E-11
1089;3.74E-01;1.66E-11
1090;3.72E-01;1.78E-11
1091;3.71E-01;1.91E-11
1092;3.70E-01;2.04E-11
1093;3.68E-01;2.19E-11
1094;3.67E-01;2.34E-11
1095;3.66E-01;2.51E-11
1096;3.64E-01;2.68E-11
1097;3.64E-01;2.87E-11
1098;3.63E-01;3.07E-11
1099;3.62E-01;3.27E-11
1100;3.61E-01;3.48E-11
1105;3.50E-01;4.95E-11
1110;3.37E-01;6.99E-11
1115;3.33E-01;9.92E-11
1120;3.19E-01;1.34E-10
1125;3.10E-01;1.91E-10
1130;3.04E-01;2.65E-10
1135;2.95E-01;3.71E-10
1140;2.89E-01;5.03E-10
1145;2.78E-01;6.98E-10
1150;2.68E-01;9.70E-10
1155;2.60E-01;1.33E-09
1160;2.44E-01;1.83E-09
1165;2.41E-01;2.51E-09
1170;2.29E-01;3.43E-09
1175;2.20E-01;4.75E-09
1180;2.10E-01;6.36E-09
1185;2.02E-01;8.83E-09
1190;1.91E-01;1.18E-08
1195;1.87E-01;1.61E-08
1200;1.76E-01;2.15E-08
1250;1.17E-01;3.85E-07
1300;8.69E-02;4.98E-06
1350;8.24E-02;4.68E-05
1400;8.52E-02;3.12E-04
1450;8.37E-02;1.51E-03
1500;8.19E-02;5.49E-03
1550;8.37E-02;1.59E-02
1600;9.45E-02;3.70E-02
1650;1.08E-01;7.18E-02
1700;1.18E-01;1.33E-01
1750;1.23E-01;2.01E-01
1800;1.25E-01;2.69E-01
1850;1.35E-01;3.39E-01
1900;1.48E-01;4.05E-01
1950;1.69E-01;4.80E-01
2000;1.85E-01;5.31E-01
2050;2.03E-01;5.84E-01
2100;2.16E-01;6.27E-01
2150;2.26E-01;6.56E-01
2200;2.20E-01;6.50E-01
2250;2.15E-01;6.33E-01
2300;2.12E-01;6.36E-01
2350;2.16E-01;6.36E-01
2400;2.16E-01;6.36E-01
2450;2.13E-01;6.20E-01
2500;1.99E-01;5.51E-01
2550;1.44E-01;4.35E-01
2600;1.26E-01;4.05E-01
2650;1.11E-01;3.64E-01
2700;8.88E-02;3.29E-01
2750;4.41E-02;2.07E-01
2800;1.73E-03;3.59E-02
2850;4.75E-05;2.49E-03
2900;2.72E-06;3.43E-04
2950;3.78E-07;4.72E-05
3000;5.42E-08;8.00E-06
3050;8.45E-09;1.32E-06
3100;1.60E-09;2.16E-07
3150;4.10E-10;3.12E-08
3200;1.09E-10;4.86E-09
3250;3.39E-11;8.95E-10
3300;1.21E-11;1.74E-10
3350;6.97E-12;5.73E-11
3400;5.43E-12;3.12E-11
3450;5.43E-12;2.37E-11
3500;6.97E-12;2.70E-11
3550;9.71E-12;4.85E-11
3600;1.65E-11;1.32E-10
3650;2.70E-11;4.10E-10
3700;4.59E-11;1.28E-09
3750;6.58E-11;4.48E-09
3800;7.05E-11;8.93E-09
3850;5.81E-11;1.03E-08
3900;4.11E-11;6.97E-09
3950;2.15E-11;3.21E-09
4000;8.00E-12;3.43E-10
4050;2.05E-12;5.42E-11
4100;5.45E-13;4.60E-12
4150;2.06E-13;3.38E-13
4200;1.32E-13;1.40E-13
4250;1.60E-13;1.22E-13
4300;3.43E-13;2.16E-13
4350;1.03E-12;1.89E-12
4400;2.58E-12;8.00E-12
4450;5.14E-12;2.12E-11
4500;9.44E-12;3.89E-11
4550;1.70E-11;1.25E-10
4600;2.70E-11;3.43E-10
4650;4.35E-11;1.47E-09
4700;6.40E-11;4.01E-09
4750;8.04E-11;8.45E-09
4800;1.03E-10;1.61E-08
4850;1.18E-10;1.70E-08
4900;1.25E-10;1.75E-08
4950;1.25E-10;1.85E-08
5000;1.22E-10;2.70E-08
5050;1.00E-10;3.58E-08
5100;6.40E-11;4.72E-08
5150;2.06E-11;4.47E-08
5200;1.00E-12;2.24E-08
